,artist_name,track_name,track_id,popularity,explicit,year_song,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
467,Falling In Reverse,Popular Monster,4GssB27iJeqmfGxS94Tfij,75,True,2019,0.00821,0.461,220537,0.897,0.0,3,0.0965,-3.982,0,0.092,165.107,4,0.358
468,Blake Shelton,Nobody But You (Duet with Gwen Stefani),5M8goiFYynmNxhueYW6grR,72,False,2019,0.111,0.463,194867,0.653,0.000136,0,0.172,-5.515,1,0.0273,143.912,4,0.233
469,Jack & Jack,No One Compares To You,4cZ3UsiKd1kUQIaq4BFIj2,78,False,2019,0.127,0.7,182920,0.748,0.0,1,0.0941,-6.044,1,0.0434,111.939,4,0.631
470,YBN Cordae,Broke As Fuck,1faIb3PPSzEifCHUOJ691R,72,True,2019,0.0298,0.616,196112,0.669,0.0,1,0.127,-5.791,1,0.32,154.056,4,0.275
471,NF,Leave Me Alone,3EtyEzMpfKSaoVhPunvbRV,74,False,2019,0.249,0.722,308652,0.741,0.0,1,0.151,-3.72,1,0.19,162.11,4,0.46
472,Avicii,SOS (feat. Aloe Blacc),2x0RZdkZcD8QRI53XT4GI5,82,False,2019,0.272,0.802,157202,0.645,0.0,5,0.119,-6.181,0,0.0715,100.001,4,0.376
473,Rod Wave,Sky Priority,0F9at9W2UkP504cIxKE1K8,70,True,2019,0.163,0.637,178678,0.437,0.0,4,0.124,-13.836,1,0.322,171.477,3,0.486
474,El Alfa,Coronao Now,7FbKipScVxkjQxQXwTd0gL,80,False,2019,0.146,0.941,217881,0.729,0.00451,6,0.18,-7.56,0,0.246,118.026,4,0.718
475,Reik,Indeciso,59s0s39NFWScuHDbHytI14,88,False,2019,0.182,0.738,217253,0.748,0.0,0,0.11,-4.902,1,0.0453,94.949,4,0.896
476,Cardi B,Press,6dPyzkyZwoj9LqjQXOFdVv,73,True,2019,0.029,0.888,143792,0.525,5.68e-06,1,0.137,-5.665,1,0.305,133.983,4,0.243
477,Luke Combs,Nothing Like You,5ppDdMho96v8gdDm7HKEbK,71,False,2019,0.355,0.62,196320,0.443,0.0,5,0.108,-7.984,1,0.028,141.976,4,0.339
478,Galantis,Faith (with Dolly Parton) [feat. Mr. Probz],35MKhw2YBKApmD7fAnPERC,77,False,2019,0.145,0.547,186805,0.795,0.0,8,0.11,-3.721,1,0.0489,118.118,4,0.723
479,Pardison Fontaine,Take It Down (feat. Offset),34e2WyzmjG2aDk7KykOOZZ,72,True,2019,0.0393,0.917,208976,0.494,0.0,1,0.194,-5.772,1,0.085,143.048,4,0.341
480,Alessia Cara,Ready,6l7lX8hJXVIUyPrTaabpqk,77,False,2019,0.214,0.529,178747,0.496,0.0,0,0.212,-6.668,0,0.151,74.619,4,0.588
481,Bazzi,Focus (feat. 21 Savage),2FqqVHvC4eKrsk97vpMRid,74,True,2019,0.00694,0.752,155134,0.703,0.0,1,0.143,-5.268,1,0.0969,77.021,4,0.538
482,DJ Scheme,"How You Feel? (Freestyle) (feat. Lil Yachty, Danny Towers & Ski Mask The Slump God)",67cpn8ZBO7QU67jky8Fh47,72,True,2019,0.0295,0.949,135023,0.425,0.0,5,0.106,-7.393,1,0.224,124.927,4,0.621
483,Junior H,Disfruto Lo Malo,7LH2UUuyMHt7035PLZQ8wx,73,False,2019,0.518,0.68,187353,0.633,0.0,6,0.103,-6.861,0,0.0317,109.743,3,0.707
484,BLACKPINK,Kill This Love,18PergoIrGmRyeYxnaXJN2,78,False,2019,0.32,0.738,189052,0.861,0.00175,2,0.325,-4.141,1,0.237,131.974,4,0.58
485,Kash Doll,Ready Set (feat. Big Sean),050ud0e5cmIYjmXplDugVQ,72,False,2019,0.00252,0.849,165375,0.62,0.000283,4,0.113,-5.921,0,0.0589,96.005,4,0.481
486,Jaden,Summertime In Paris,6XNANAB7sFvkfho6bMCp7o,74,True,2019,0.135,0.569,270960,0.86,0.0,9,0.153,-4.116,1,0.043,90.937,4,0.289
487,Maluma,Qué Pena,5099x34vBakWpGkHourFxP,84,False,2019,0.102,0.635,212711,0.661,0.0,11,0.336,-6.425,0,0.364,126.15,5,0.858
488,Jonas Brothers,Like It's Christmas,1OjmlSFuzYflWjSMTCyTJv,76,False,2019,0.0183,0.725,200880,0.571,0.0,1,0.0519,-6.007,1,0.102,146.035,4,0.61
489,Yung Gravy,Magic,7qRBXrTLfhdyG7bi6DuURv,72,True,2019,0.0541,0.791,177653,0.718,0.0,10,0.334,-6.343,0,0.0643,108.047,4,0.422
490,YBN Cordae,Have Mercy,0GwYkXgQdqY4dyRffHw3HT,73,True,2019,0.0806,0.794,202454,0.44,0.0,0,0.198,-7.861,0,0.131,138.024,4,0.276
491,Jonas Blue,What I Like About You (feat. Theresa Rex),4NSW0Km5ZG60L8FthUebPJ,81,False,2019,0.289,0.46,220396,0.8,6.16e-06,1,0.121,-3.584,1,0.05,102.46,4,0.553
492,Luke Combs,Refrigerator Door,1rLhKgfBTu7qGEz98IpQxo,71,False,2019,0.011,0.459,204240,0.864,3.04e-06,1,0.314,-4.397,1,0.059,74.87,4,0.623
493,Usher,Don't Waste My Time (feat. Ella Mai),3Ey11v2aiX14s4wBaYbhlp,73,False,2019,0.125,0.701,199720,0.778,0.0,2,0.0828,-5.076,1,0.201,99.956,4,0.609
494,Jake Owen,Homemade,31JID2STTlLuFqXFWHyM8e,70,False,2019,0.396,0.504,192653,0.838,0.0,6,0.195,-2.703,1,0.0486,146.065,4,0.569
495,DaBaby,OFF THE RIP,3e39X4Q74yJzsYUEeyf4ws,71,True,2019,0.0104,0.801,115610,0.693,0.0,0,0.376,-4.002,1,0.323,164.084,4,0.602
496,Ozuna,Baila Baila Baila - Remix,7mWFF4gPADjTQjC97CgFVt,80,False,2019,0.0598,0.785,235284,0.572,0.0,2,0.218,-7.504,1,0.123,100.016,4,0.49
497,Marca MP,El Güero - En vivo,7a6gK5GwlIvGTU4ayZhskd,73,True,2019,0.194,0.834,219533,0.494,1.47e-05,10,0.258,-9.178,1,0.0767,109.309,3,0.725
498,Tame Impala,Borderline,3O8X1DE9btbzy4UH9cSX9a,76,False,2019,0.0476,0.598,274294,0.71,1.77e-05,0,0.1,-6.839,0,0.0272,97.976,4,0.726
499,Post Malone,Internet,0KAzP1Rbp0Vz5pw8i1KDDI,74,True,2019,0.841,0.469,123387,0.489,0.0,0,0.103,-6.071,1,0.0314,74.013,4,0.201
500,Camilo,Tutu,1nocRtwyNPVtGcIJqfgdzZ,87,False,2019,0.273,0.731,178613,0.832,0.0,9,0.0665,-2.592,1,0.0503,146.013,4,0.94
501,Flipp Dinero,Leave Me Alone,6V7g6qM8wheMivMWrzbPTM,72,True,2019,0.107,0.792,195637,0.743,0.0,7,0.183,-2.806,1,0.0851,150.024,4,0.742
502,Kanye West,On God,2SasoXZyv82yYgHiVOvxQn,74,False,2019,0.0671,0.41,136351,0.886,0.0,9,0.461,-4.413,0,0.155,72.577,4,0.393
503,Trippie Redd,This Ain't That,07NMFSwppnky8JyIQIxAQZ,71,True,2019,0.114,0.716,207059,0.68,0.0,4,0.366,-4.755,0,0.0589,76.47,4,0.219
504,Why Don't We,Unbelievable,1LHfEkVMR0Yj20C8lWdgpA,77,False,2019,0.105,0.532,189385,0.66,0.000222,7,0.0996,-7.138,1,0.0825,130.013,4,0.676
505,Ozuna,Fantasía,40rXWke6SnXiGkSmaT8ZUr,85,False,2019,0.227,0.695,175187,0.719,0.000171,2,0.0884,-5.938,1,0.0903,180.074,4,0.781
506,DJ Snake,"Loco Contigo (with J. Balvin & Ozuna feat. Nicky Jam, Natti Natasha, Darell & Sech) - REMIX",5QXQy0f2q8wJNpPwJtjifx,82,False,2019,0.0982,0.789,341875,0.694,0.0,6,0.0962,-5.781,0,0.0729,96.035,4,0.549
507,Kelsea Ballerini,Better Luck Next Time,7vejWqYK7NFsxbxQsAjTrC,72,False,2019,0.226,0.373,172371,0.477,0.0,8,0.0879,-6.391,1,0.0819,198.522,4,0.531
508,Leeland,Way Maker - Live,40ozK0lCJ0EQzVGWsCNUhk,72,False,2019,0.0289,0.432,503240,0.524,0.0,4,0.682,-8.721,1,0.0321,135.956,4,0.183
509,Nicky Jam,Te Robaré,4PJ3umtW1aWdfh5EITHc6T,82,False,2019,0.241,0.673,201818,0.752,4.51e-05,2,0.0813,-3.572,0,0.0561,175.997,4,0.797
510,Stunna 4 Vegas,Ashley (with DaBaby),4gH4e5ENzVDg4N8fOp2vDP,70,True,2019,0.00284,0.884,151859,0.807,0.0,8,0.111,-3.462,0,0.325,144.018,4,0.916
511,Kacey Musgraves,All Is Found - Kacey Musgraves Version,5EeQQ8BVJTRkp1AIKJILGY,74,False,2019,0.954,0.438,183735,0.19,7.12e-05,5,0.117,-13.573,1,0.0289,153.02,4,0.106
512,James Bay,Peer Pressure,4RE3vueod5PL48rvHtuu9C,78,False,2019,0.0299,0.631,176827,0.715,0.0,1,0.122,-6.083,0,0.0277,135.826,4,0.42
513,Blueface,Bleed It,1JGaV39uhSQd2eAteOxFlF,72,True,2019,0.209,0.845,145547,0.76,0.0,1,0.105,-6.008,0,0.362,101.91,4,0.516
514,Nicki Minaj,MEGATRON,1ZDmxwg7Lywlx68b7SsJjj,74,True,2019,0.128,0.893,190747,0.641,8.06e-05,1,0.086,-3.051,1,0.272,94.017,4,0.771
515,YoungBoy Never Broke Again,Dirty Iyanna,3z2q4KZxGOotjB87arytei,70,True,2019,0.0336,0.808,252312,0.841,4.35e-05,0,0.129,-4.492,1,0.0342,131.98,4,0.482
516,Kane Brown,For My Daughter,2moC0T4mGwmP8dUDostr2g,71,False,2019,0.275,0.537,223923,0.561,5.78e-05,1,0.126,-8.09,1,0.0287,139.939,4,0.35
517,Juice WRLD,Ring Ring (with Rvssian feat. Clever),4zxpssj8DyrfZcEUSUiNxG,72,True,2019,0.0768,0.581,171817,0.673,0.0,0,0.4,-4.421,0,0.0549,160.073,4,0.621
518,DJ Khaled,Wish Wish (feat. Cardi B & 21 Savage),1Hd2XLitkt1PYCWSbfF5qV,73,True,2019,0.00218,0.861,202625,0.666,0.0,8,0.272,-5.18,0,0.343,145.041,4,0.853
519,Lizzo,Tempo (feat. Missy Elliott),6nBQFAIVFmAx2oZ8p6lUg6,72,True,2019,0.0573,0.833,175343,0.722,1.14e-05,1,0.358,-5.563,1,0.136,107.019,4,0.588
520,03 Greedo,Trap House (feat. Shoreline Mafia),6ZxX2vmH5WLufcOqenLjfb,70,True,2019,0.116,0.737,221396,0.483,0.0,1,0.0873,-5.845,0,0.0359,97.471,4,0.261
521,ScHoolboy Q,Numb Numb Juice,6tByydPskASjm9jTPkNQq0,72,True,2019,0.00172,0.885,107147,0.492,7.79e-05,1,0.081,-6.015,1,0.367,156.958,4,0.203
