iter	Passed	Remaining
188	3803	16321
189	3829	16325
190	3856	16333
191	3882	16337
192	3907	16339
193	3934	16347
194	3959	16347
195	3985	16346
196	4011	16350
197	4037	16354
198	4071	16387
199	4098	16392
200	4124	16395
201	4150	16397
202	4176	16397
203	4201	16392
204	4228	16397
205	4256	16407
206	4283	16411
207	4301	16380
208	4323	16364
209	4349	16362
210	4377	16369
211	4403	16369
212	4432	16376
213	4460	16381
214	4487	16386
215	4516	16393
216	4544	16398
217	4574	16409
218	4603	16417
219	4633	16426
220	4663	16436
221	4692	16445
222	4722	16455
223	4752	16463
224	4782	16473
225	4803	16449
226	4833	16459
227	4871	16496
228	4901	16503
229	4932	16514
230	4964	16526
231	4996	16540
232	5027	16549
233	5061	16568
234	5093	16579
235	5124	16587
236	5155	16596
237	5173	16563
238	5190	16527
239	5207	16490
240	5224	16454
241	5250	16445
242	5268	16412
243	5284	16374
244	5302	16340
245	5319	16305
246	5336	16269
247	5358	16247
248	5375	16213
249	5395	16185
250	5414	16157
251	5432	16125
252	5451	16095
253	5478	16089
254	5496	16057
255	5515	16029
256	5533	15998
257	5552	15968
258	5570	15938
259	5589	15908
260	5616	15902
261	5647	15906
262	5678	15911
263	5709	15916
264	5740	15921
265	5772	15929
266	5804	15934
267	5837	15945
268	5869	15950
269	5900	15953
270	5924	15936
271	5941	15903
272	5962	15879
273	5991	15875
274	6011	15847
275	6036	15835
276	6062	15822
277	6087	15810
278	6121	15818
279	6152	15821
280	6178	15809
281	6202	15791
282	6228	15779
283	6252	15762
284	6278	15752
285	6301	15732
286	6319	15699
287	6345	15686
288	6364	15656
289	6381	15623
290	6398	15590
291	6416	15557
292	6434	15525
293	6452	15493
294	6476	15477
295	6505	15471
296	6543	15487
297	6576	15491
298	6606	15488
299	6644	15503
300	6680	15514
301	6715	15521
302	6743	15512
303	6770	15500
304	6804	15504
305	6830	15490
306	6854	15472
307	6880	15458
308	6905	15442
309	6929	15423
310	6953	15406
311	6975	15381
312	6992	15347
313	7014	15324
314	7045	15322
315	7076	15316
316	7108	15316
317	7140	15313
318	7170	15306
319	7202	15305
320	7232	15297
321	7261	15290
322	7291	15282
323	7320	15274
324	7352	15270
325	7383	15264
326	7412	15255
327	7444	15251
328	7474	15244
329	7504	15236
330	7527	15213
331	7547	15184
332	7574	15171
333	7604	15163
334	7633	15153
335	7663	15143
336	7697	15144
337	7736	15152
338	7776	15163
339	7820	15181
340	7861	15193
341	7905	15210
342	7947	15223
343	7988	15233
344	8026	15237
345	8053	15221
346	8084	15214
347	8120	15213
348	8150	15202
349	8180	15192
350	8209	15180
351	8242	15172
352	8273	15164
353	8299	15146
354	8328	15131
355	8354	15112
356	8378	15091
357	8401	15066
358	8426	15044
359	8452	15027
360	8477	15005
361	8505	14990
362	8535	14978
363	8558	14954
364	8575	14919
365	8591	14883
366	8609	14850
367	8626	14814
368	8643	14780
369	8667	14758
370	8697	14746
371	8728	14735
372	8758	14722
373	8791	14714
374	8826	14710
375	8861	14705
376	8900	14708
377	8933	14699
378	8964	14687
379	8980	14652
380	8998	14619
381	9015	14584
382	9033	14552
383	9050	14518
384	9067	14484
385	9083	14449
386	9104	14421
387	9121	14387
388	9143	14361
389	9166	14337
390	9188	14311
391	9204	14276
392	9221	14243
393	9239	14211
394	9257	14178
395	9273	14144
396	9290	14111
397	9307	14078
398	9324	14045
399	9345	14018
400	9372	14000
401	9396	13978
402	9415	13948
403	9433	13916
404	9449	13882
